Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017
"06025010101","Census Tract 101.01, Imperial County, California","ACSSF","ca","140","00","0003857",,,,,"06","025",,,"010101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06025010101","Census Tract 101.01",,,,4207,4207,368,1066,113,37,10,2233,380,4207,1616,348,1043,70,20,6,7,122,2591,20,23,43,17,4,2226,258
"06025010102","Census Tract 101.02, Imperial County, California","ACSSF","ca","140","00","0003858",,,,,"06","025",,,"010102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06025010102","Census Tract 101.02",,,,3903,3903,2587,340,0,141,31,285,519,3903,744,268,325,0,120,31,0,0,3159,2319,15,0,21,0,285,519
"06025010200","Census Tract 102, Imperial County, California","ACSSF","ca","140","00","0003859",,,,,"06","025",,,"010200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06025010200","Census Tract 102",,,,2765,2765,1127,13,0,11,0,1321,293,2765,349,304,13,0,11,0,0,21,2416,823,0,0,0,0,1321,272
"06025010300","Census Tract 103, Imperial County, California","ACSSF","ca","140","00","0003860",,,,,"06","025",,,"010300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06025010300","Census Tract 103",,,,918,918,644,1,0,0,3,113,157,918,403,392,0,0,0,3,0,8,515,252,1,0,0,0,113,149
"06025010401","Census Tract 104.01, Imperial County, California","ACSSF","ca","140","00","0003861",,,,,"06","025",,,"010401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06025010401","Census Tract 104.01",,,,2346,2346,1027,3,3,13,7,485,808,2346,119,96,3,0,13,7,0,0,2227,931,0,3,0,0,485,808
"06025010402","Census Tract 104.02, Imperial County, California","ACSSF","ca","140","00","0003862",,,,,"06","025",,,"010402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06025010402","Census Tract 104.02",,,,5384,5384,3558,3,14,13,0,1678,118,5384,132,76,3,0,13,0,0,40,5252,3482,0,14,0,0,1678,78
"06025010500","Census Tract 105, Imperial County, California","ACSSF","ca","140","00","0003863",,,,,"06","025",,,"010500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06025010500","Census Tract 105",,,,7361,7361,4702,118,294,22,0,1147,1078,7361,1909,1668,63,22,22,0,36,98,5452,3034,55,272,0,0,1111,980
"06025010600","Census Tract 106, Imperial County, California","ACSSF","ca","140","00","0003864",,,,,"06","025",,,"010600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06025010600","Census Tract 106",,,,7089,7089,4849,11,121,56,0,1164,888,7089,1946,1685,7,121,56,0,0,77,5143,3164,4,0,0,0,1164,811
"06025010700","Census Tract 107, Imperial County, California","ACSSF","ca","140","00","0003865",,,,,"06","025",,,"010700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06025010700","Census Tract 107",,,,4239,4239,2621,75,0,84,60,964,435,4239,167,65,31,0,71,0,0,0,4072,2556,44,0,13,60,964,435
"06025010800","Census Tract 108, Imperial County, California","ACSSF","ca","140","00","0003866",,,,,"06","025",,,"010800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06025010800","Census Tract 108",,,,1103,1103,759,0,0,16,0,108,220,1103,616,547,0,0,16,0,3,50,487,212,0,0,0,0,105,170
"06025010900","Census Tract 109, Imperial County, California","ACSSF","ca","140","00","0003867",,,,,"06","025",,,"010900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06025010900","Census Tract 109",,,,6675,6675,3112,95,61,41,0,2449,917,6675,1023,838,95,0,23,0,0,67,5652,2274,0,61,18,0,2449,850
"06025011001","Census Tract 110.01, Imperial County, California","ACSSF","ca","140","00","0003868",,,,,"06","025",,,"011001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06025011001","Census Tract 110.01",,,,4618,4618,3099,168,17,62,0,757,515,4618,1373,1162,168,0,5,0,38,0,3245,1937,0,17,57,0,719,515
"06025011002","Census Tract 110.02, Imperial County, California","ACSSF","ca","140","00","0003869",,,,,"06","025",,,"011002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06025011002","Census Tract 110.02",,,,11415,11415,6527,100,0,615,0,1273,2900,11415,2020,1292,100,0,615,0,0,13,9395,5235,0,0,0,0,1273,2887
