,state code,county code,affgeoid,geoid,county,location,total population,day population,EJI rank,Environmental burden rank,PM 2.5 rank,Diesel rank,Air toxics cancer risk,Lack of parks,Lack of walkability,railways,high volume roads,airports,"proximity to roads, rail, airports",social vulnerability sum,social vulnerability sum,social vulnerability rank,% high blood pressure,% asthma,% cancer,% mental health,% diabetes,high blood pressure rank,asthma rank,cancer rank,diabetes rank,mental health rank,SHAPE__Length,SHAPE__Area,geometry_x,geometry,Warehouse Present
0,06,071,1400000US06071001307,06071001307,San Bernardino,"Census Tract 13.07, San Bernardino County, Calif",4212,2345,0.6649,0.8834,0.9739,0.7475,0.7015,0.3853,0.4618,0.7891,0.6778,0.0,0.722,0.6535,0.6535,7.7705,25.3,9.4,4.3,14.4,11.8,0.1419,0.3966,0.0881,0.6264,0.5495,4784.119191519572,1282029.226126705,"POLYGON ((-1963807.2089999989 -157069.9277999997, -1963984.5866 -157840.67039999925, -1963931.5517999995 -157871.08029999956, -1963212.0478999987 -158039.63209999911, -1962440.5186 -158219.81460000016, -1962252.2096999995 -157439.78529999964, -1963031.8418999985 -157256.35089999996, -1963807.2089999989 -157069.9277999997))","POLYGON ((-117.628575 34.09215, -117.628563 34.085074, -117.62792400000001 34.084916, -117.619856 34.084899, -117.611206 34.084885, -117.61112299999999 34.092064, -117.619868 34.09209, -117.628575 34.09215))",False
1,06,071,1400000US06071001703,06071001703,San Bernardino,"Census Tract 17.03, San Bernardino County, Calif",5680,2388,0.4366,0.6255,0.9907,0.8804,0.9168,0.3853,0.2587,0.2622,0.7666,0.0,0.4965,0.4843,0.4843,6.7443,26.4,9.2,5.0,13.1,10.8,0.1893,0.3389,0.1785,0.5105,0.397,5575.388720817278,1908278.08064108,"POLYGON ((-1968855.2315999996 -162996.9425999988, -1968948.134299999 -163413.5451999996, -1969127.7511999998 -164207.10679999925, -1968737.5121999998 -164292.36869999953, -1968346.8111999985 -164377.2600999996, -1967957.6948999986 -164464.51860000007, -1967612.9813 -164542.3816999998, -1967431.7004999984 -163751.9598999992, -1967342.9993999992 -163342.18520000018, -1967693.039999999 -163288.3267000001, -1967906.7731999997 -163215.93009999953, -1968076.2747999988 -163173.5201999992, -1968423.5593999997 -163095.60280000046, -1968855.2315999996 -162996.9425999988))","POLYGON ((-117.667639 34.03029, -117.667599 34.026471, -117.667551 34.019191, -117.663194 34.019237, -117.658833 34.019287, -117.654483 34.019313, -117.650628 34.019331, -117.650649 34.026587, -117.650716 34.030338, -117.654467 34.030314, -117.654569 34.030100000000004, -117.65701899999999 34.030299, -117.658925 34.030325999999995, -117.662808 34.030302999999996, -117.667639 34.03029))",False
2,06,071,1400000US06071001812,06071001812,San Bernardino,"Census Tract 18.12, San Bernardino County, Calif",3477,2913,0.9054,0.9883,0.9872,0.9018,0.947,0.3853,0.4052,0.7891,0.5731,0.0,0.6576,0.9334,0.9334,9.899,27.5,9.8,4.2,15.8,13.7,0.2437,0.5157,0.0785,0.7878,0.6957,4243.720820531976,887149.6270812,"POLYGON ((-1966870.4562999997 -161282.1152999997, -1967074.4782999996 -162174.67430000007, -1967162.4929999989 -162568.0932, -1966734.945799999 -162662.0449000001, -1966345.4094999991 -162749.9188000001, -1966256.4679999985 -162354.7645999994, -1966477.292299999 -162309.43730000034, -1966297.0142 -161498.33889999986, -1966445.6830000002 -161378.40719999932, -1966870.4562999997 -161282.1152999997))","POLYGON ((-117.65077 34.049248999999996, -117.650739 34.041056999999995, -117.650705 34.03745, -117.645929 34.037495, -117.641572 34.037516, -117.64160000000001 34.04114, -117.644059 34.041089, -117.64414099999999 34.048522999999996, -117.646017 34.049268, -117.65077 34.049248999999996))",False
3,06,071,1400000US06071001002,06071001002,San Bernardino,"Census Tract 10.02, San Bernardino County, Calif",5929,1960,0.6587,0.7748,0.9785,0.7307,0.7717,0.3853,0.2799,0.7891,0.2781,0.0,0.5144,0.7037,0.7037,8.0941,25.1,9.7,3.7,15.7,11.3,0.1349,0.4859,0.04,0.5716,0.6859,4410.506266032648,1202109.687104145,"POLYGON ((-1969106.4123999998 -158735.28009999916, -1969110.0286999997 -158750.0451999996, -1969197.3191 -159129.64839999937, -1968233.4319000002 -159352.4695999995, -1968144.7807 -158955.05379999988, -1968099.015999999 -158755.81859999895, -1967963.8932999987 -158161.39250000007, -1968921.8508000001 -157943.61899999902, -1968925.5176999997 -157958.60199999996, -1969015.1198999994 -158342.49120000005, -1969017.7741 -158353.92269999906, -1969106.4123999998 -158735.28009999916))","POLYGON ((-117.680818 34.074059999999996, -117.680823 34.070533, -117.680823 34.070428, -117.680824 34.066925, -117.680826 34.066789, -117.68081699999999 34.063303999999995, -117.670019 34.063311999999996, -117.670057 34.066955, -117.670062 34.068784, -117.670092 34.074238, -117.680816 34.074197999999996, -117.680818 34.074059999999996))",False
4,06,071,1400000US06071001310,06071001310,San Bernardino,"Census Tract 13.10, San Bernardino County, Calif",6193,2689,0.7382,0.9542,0.9768,0.7394,0.7096,0.3853,0.3119,0.68,0.7666,0.9214,0.9793,0.7845,0.7845,8.6517,27.5,9.3,4.9,13.8,12.0,0.2437,0.3679,0.1641,0.6463,0.4797,5320.830383249131,1414417.738885285,"POLYGON ((-1965084.2770999987 -157355.52199999988, -1965221.000599999 -157952.79879999906, -1965310.1184999999 -158351.14570000023, -1965401.194599999 -158745.36539999954, -1965492.1404999997 -159140.64609999955, -1964904.2014999986 -159275.72890000045, -1964650.9370999988 -159336.92310000025, -1964560.688099999 -158938.38339999877, -1964469.4627999999 -158542.93620000035, -1964379.451299999 -158145.82919999957, -1964201.9079999998 -158188.33019999973, -1964668.1393999998 -157663.8574000001, -1964908.1799999997 -157458.1701999996, -1965084.2770999987 -157355.52199999988))","POLYGON ((-117.64145500000001 34.087081999999995, -117.641437 34.0816, -117.641403 34.077948, -117.6414 34.074328, -117.641393 34.070699, -117.63480799999999 34.070709, -117.631964 34.070687, -117.631986 34.074343, -117.63199 34.077974, -117.632011 34.081617, -117.630018 34.081604999999996, -117.636269 34.085235, -117.639329 34.086543, -117.64145500000001 34.087081999999995))",False
5,06,071,1400000US06071001503,06071001503,San Bernardino,"Census Tract 15.03, San Bernardino County, Calif",4126,1163,0.9282,0.9996,0.9808,0.7641,0.7521,0.3853,0.4052,0.7891,0.5784,0.9936,0.9788,0.9913,0.9913,10.9402,23.6,10.7,3.0,19.3,12.1,0.0881,0.7373,0.017,0.6563,0.9171,3172.3820732377676,552509.56951577,"POLYGON ((-1965213.8948 -159622.04810000025, -1965304.1997999996 -160021.94779999927, -1964730.7504999992 -160152.84420000017, -1964525.1677 -160200.3454, -1964435.0370999984 -159801.43799999915, -1964397.8988999985 -159632.55779999867, -1964407.3077999987 -159391.40330000035, -1964650.9370999988 -159336.92310000025, -1964904.2014999986 -159275.72890000045, -1964995.7810999993 -159671.43439999968, -1965213.8948 -159622.04810000025))","POLYGON ((-117.63480799999999 34.070709, -117.634807 34.067074999999996, -117.637248 34.067065, -117.637223 34.063397, -117.630803 34.063414, -117.6285 34.063415, -117.628524 34.067074, -117.628545 34.068621, -117.629239 34.070704, -117.631964 34.070687, -117.63480799999999 34.070709))",False
6,06,071,1400000US06071001707,06071001707,San Bernardino,"Census Tract 17.07, San Bernardino County, Calif",6525,2102,0.6717,0.8898,0.9856,0.8541,0.8871,0.3853,0.3282,0.6455,0.4656,0.0,0.534,0.6946,0.6946,8.0315,25.6,9.5,4.2,14.5,11.7,0.1541,0.4269,0.0785,0.6162,0.5611,5463.95992798283,1705902.149375245,"POLYGON ((-1968570.5951999985 -160898.2020999994, -1968788.331699999 -161785.39910000004, -1968203.0510999989 -161915.11759999953, -1967813.5702999998 -162004.77479999885, -1967074.4782999996 -162174.67430000007, -1966870.4562999997 -161282.1152999997, -1966841.5935999993 -161156.40880000032, -1967731.884399999 -161029.22729999945, -1967981.0694999993 -160991.50159999914, -1968039.4353 -160978.30539999902, -1968570.5951999985 -160898.2020999994))","POLYGON ((-117.66979 34.049158, -117.669916 34.040985, -117.663375 34.041038, -117.659014 34.041044, -117.650739 34.041056999999995, -117.65077 34.049248999999996, -117.650773 34.050402999999996, -117.660551 34.049712, -117.663293 34.049537, -117.663946 34.049534, -117.66979 34.049158))",False
7,06,071,1400000US06071001810,06071001810,San Bernardino,"Census Tract 18.10, San Bernardino County, Calif",5273,1537,0.6583,0.8768,0.9895,0.8955,0.9462,0.3853,0.4364,0.5446,0.7666,0.0,0.6304,0.7092,0.7092,8.132,24.7,9.6,3.9,14.8,11.7,0.1213,0.4568,0.0528,0.6162,0.5944,4068.275074484996,988536.196293625,"POLYGON ((-1967251.9102999996 -162961.0702999998, -1967342.9993999992 -163342.18520000018, -1966519.6122999992 -163532.4699999988, -1966130.8669999987 -163619.45299999975, -1965959.8246999998 -162841.4472000003, -1966345.4094999991 -162749.9188000001, -1966734.945799999 -162662.0449000001, -1967162.4929999989 -162568.0932, -1967251.9102999996 -162961.0702999998))","POLYGON ((-117.650705 34.03745, -117.650687 34.033844, -117.650716 34.030338, -117.641496 34.030343, -117.63714999999999 34.03037, -117.637248 34.037497, -117.641572 34.037516, -117.645929 34.037495, -117.650705 34.03745))",False
8,06,071,1400000US06071001101,06071001101,San Bernardino,"Census Tract 11.01, San Bernardino County, Calif",4173,3145,0.7491,0.8856,0.9798,0.713,0.7244,0.3853,0.2821,0.7891,0.0,0.0,0.368,0.7501,0.7501,8.4154,24.8,9.7,3.7,15.6,11.2,0.1248,0.4859,0.04,0.5598,0.6768,3807.452762798397,790858.51366276,"POLYGON ((-1968099.015999999 -158755.81859999895, -1968144.7807 -158955.05379999988, -1968233.4319000002 -159352.4695999995, -1967394.649699999 -159545.35429999977, -1966973.612399999 -159639.56409999914, -1966885.2762000002 -159241.61679999903, -1966854.4969999995 -159108.89409999922, -1966839.5409999993 -159042.37480000034, -1967258.0128999986 -158948.18610000052, -1968099.015999999 -158755.81859999895))","POLYGON ((-117.670062 34.068784, -117.670057 34.066955, -117.670019 34.063311999999996, -117.660625 34.063327, -117.65591599999999 34.063356999999996, -117.655958 34.067004, -117.655958 34.068222999999996, -117.655963 34.068833, -117.660645 34.068808, -117.670062 34.068784))",False
9,06,071,1400000US06071001308,06071001308,San Bernardino,"Census Tract 13.08, San Bernardino County, Calif",4643,2785,0.7928,0.9349,0.9774,0.793,0.7354,0.3853,0.1628,0.7056,0.7666,0.9456,0.9844,0.7711,0.7711,8.5545,24.6,9.8,3.7,15.8,11.4,0.1182,0.5157,0.04,0.5831,0.6957,4798.5760671992075,1071823.45714313,"POLYGON ((-1963390.0994999986 -158832.69739999995, -1963684.9608999994 -158762.02080000006, -1963282.6366999988 -159214.13849999942, -1962789.876699999 -159742.10610000044, -1962735.5563999992 -159582.13460000046, -1962609.6272 -159018.84950000048, -1962440.5186 -158219.81460000016, -1963212.0478999987 -158039.63209999911, -1963390.0994999986 -158832.69739999995))","POLYGON ((-117.619856 34.084899, -117.619797 34.077627, -117.623107 34.077647999999996, -117.617715 34.074518999999995, -117.611175 34.070910999999995, -117.610991 34.072415, -117.61103800000001 34.077579, -117.611206 34.084885, -117.619856 34.084899))",False
