OBJECTID,COUNTY,CITY,Shape__Area,Shape__Length,GlobalID
1,San Bernardino,Adelanto,202527216.65625,122818.299432443,a112aaa2-6c60-4c6f-83c5-5a03126064e8
2,Los Angeles,Agoura Hills,29643180.1953125,29626.9407231508,b9192abb-2d64-4f7b-b9dc-97b8a703521b
3,Alameda,Alameda,43583052.453125,52137.8769118302,b8a7f28a-a71e-4e96-bd7e-78cf84f27f7d
4,Alameda,Albany,7558117.2109375,16774.017561212,f25071bd-a3d2-437a-bdf4-2d25a0aea1f4
5,Los Angeles,Alhambra,28883376.6367188,25461.4876329188,a74ff6de-81a9-4d98-b4dc-a1f9d9730f4b
6,Orange,Aliso Viejo,25901253.5117188,33775.3696308583,32e63b56-98f9-462e-9e0d-86ed32f59a6f
7,Modoc,Alturas,13359025.0585938,23764.8127344721,f87fe79e-88fe-44fe-bacf-b16d00e72320
8,Amador,Amador City,1307710.1328125,4628.80717539254,0b0e5dd4-dd76-4d23-b8db-5f80e581a6d9
9,Napa,American Canyon,25657660.1835938,34793.6440438085,0e0b9daf-6b3d-4783-a074-8607c357f0eb
10,Orange,Anaheim,196108999.554688,147822.690354671,7b29a09d-80e7-4ecf-a52d-6fa122b3651c
11,Shasta,Anderson,32458888.3984375,47510.5481526246,d8e5af81-bf95-43bc-87b0-bdb8fc4aa286
12,Calaveras,Angels Camp,14886738.2734375,30295.3811127137,48b86afe-5032-430f-b44b-b2b9a1ce4d71
13,Contra Costa,Antioch,124941447.402344,74914.6180628466,3425eb3e-ab73-490a-a609-8b129dc2551c
14,San Bernardino,Apple Valley,294405037.746094,105049.496705671,65eac460-b13a-4c7a-9ecd-ab032081b0fc
15,Los Angeles,Arcadia,42082448.140625,48662.39865065,ef3b66aa-bcd6-433f-b223-138330934559
16,Humboldt,Arcata,51385121.5664063,75159.8543906089,d4015cfd-be17-4795-993f-9b16b5473331
17,San Luis Obispo,Arroyo Grande,23011217.6171875,31484.2368777697,f24cf9f8-c008-4879-bab2-12ba38562928
18,Los Angeles,Artesia,6128534.55859375,15055.4587668051,a4a86472-9eaa-487d-8231-1021d9979654
19,Kern,Arvin,18685857.6328125,26421.7606989487,8efc70e8-1780-476f-af6e-6e2e31b1f895
20,San Luis Obispo,Atascadero,102461859.882813,57267.537566731,c655e318-452c-47f4-8afb-42f479315749
21,San Mateo,Atherton,20737664.7421875,30997.3733329307,aa08edb8-1fd2-499e-8cfc-6a44dbed9998
22,Merced,Atwater,27568273.9726563,45442.5725787282,df3340e1-4411-4118-89a9-17a3291b67fd
23,Placer,Auburn,30627246.328125,59836.922974527,672df8e3-4684-4403-832f-92ca411d9d75
24,Los Angeles,Avalon,10948557.5898438,20901.4057551505,560550f8-6871-41d4-a0cd-4754b5cec5ad
25,Kings,Avenal,77458981.5390625,55421.4830221233,77f517a7-7ba5-4159-b73b-9ed6ed558008
26,Los Angeles,Azusa,36615279.453125,58591.2627191577,cb5f0af2-849d-46fd-94f1-02f0adb1cfcb
27,Kern,Bakersfield,591957825.328125,536308.402107617,e87b9568-4d95-4ecd-a142-41268e583cbe
28,Los Angeles,Baldwin Park,25658138.6914063,32301.7639831901,060f5a5a-82ed-416e-a0f9-8ca754dbe65a
29,Riverside,Banning,87707280.59375,98557.2975789746,654116ac-4eea-4993-ad53-d0990c693a16
30,San Bernardino,Barstow,159114428.855469,124528.363805011,2d264963-33f7-45e0-afb7-dc27bf7b63d3
31,Riverside,Beaumont,114352990.65625,95506.7991222663,b77d8417-10b4-4c2f-9a0f-82f65d1ea8ac
32,Los Angeles,Bell,9896026.3125,24187.7973649776,6d6fa9b6-09fe-4d1d-a80e-14c8066ae6d5
33,Los Angeles,Bell Gardens,9285293.390625,14226.2157586177,2519eb23-edc0-4724-be7b-9fa3d0a97fef
34,Los Angeles,Bellflower,23316766.09375,21825.9089684598,7870b149-77ef-44dd-8bda-83ce1e1671b3
35,San Mateo,Belmont,19123418.1992188,28173.7772276943,3cae9a74-f54c-4211-ace2-e7d6c3943792
36,Marin,Belvedere,2645760.046875,8307.52493870506,355cc2b2-ec2a-4160-936f-5f58cc3f72fd
37,Solano,Benicia,54541414.734375,44254.5232957136,950ed4e1-d97b-4c75-b95c-b9f45e348467
38,Alameda,Berkeley,44043848.6679688,41459.8367324381,6e2ab811-24ca-4405-858b-4b515f2cbf1b
39,Los Angeles,Beverly Hills,21616862.796875,31778.1464910811,efe66720-091a-40ff-97d2-84df7e2b6e02
40,San Bernardino,Big Bear Lake,24456282.1484375,56830.6192226937,22313489-4ea2-4f8d-b732-96a85734cc05
41,Butte,Biggs,3846221.96875,16135.5486184904,af347e2a-a981-4860-a8e6-86ada7fd3c7d
42,Inyo,Bishop,7733927.79296875,20427.2825511611,0d21b968-d076-4167-bdbb-12cdccfdbbaa
43,Humboldt,Blue Lake,2934186.11328125,12023.8197091084,fbc1c05f-c1ab-4287-ae33-30f37c748734
44,Riverside,Blythe,102128779.167969,121185.789441709,7043d734-eb55-41ec-8d86-b50f2406934c
45,Los Angeles,Bradbury,7454190.37109375,14387.3505835872,8c1b5b8c-e57c-47e8-bea9-8c33f7ae02bd
46,Imperial,Brawley,29855025.03125,38180.6914694529,62719834-e1c8-4e0c-bbe6-eb1ecad56741
