,state code,county code,affgeoid,geoid,county,location,Total Population,Day Population,EJI Rank,Environmental Burden Rank,Ozone Rank,PM 2.5 Rank,Diesel Rank,Air Toxins Cancer Risk,Lack of Parks,Lack of Walkability,Railways,High Volume Roads,Airports,"Proximity to Roads, Rail, Airports",Social Vulnerability Sum,Social Vulnerability Rank,% High Blood Pressure,% Asthma,% Cancer,% Mental Health,% Diabetes,High Blood Pressure Rank,Asthma Rank,Cancer Rank,Diabetes Rank,Mental Health Rank,SHAPE__Length,SHAPE__Area,geometry,Minority Rank,Below 200% Poverty Rank,No HS Diploma Rank,Unemployed Rank,Renter Rank,Households Less than $75k Rank,Uninsured Rank,No Internet Rank,Over 65 Rank,Under 17 Rank,Disability Rank,Speak Limited English Rank,Mobile Home Rank,% Minority,% Below Poverty,% No High School Diploma,% Unemployed,% Renter,"% Households < $75,000",% Uninsured,% No Internet,% Age 65+,% Age 17 or Younger,% With Disability,% Limited English,% Mobile Home,% Group Quarters
0,06,071,1400000US06071001307,06071001307,San Bernardino,"Census Tract 13.07, San Bernardino County, Calif",4212,2345,0.6649,0.8834,0.9952,0.9739,0.7475,0.7015,0.3853,0.4618,0.7891,0.6778,0.0,0.722,0.6535,7.7705,25.3,9.4,4.3,14.4,11.8,0.1419,0.3966,0.0881,0.6264,0.5495,4784.119191519572,1282029.226126705,"POLYGON ((-117.628575 34.09215, -117.628563 34.085074, -117.62792400000001 34.084916, -117.619856 34.084899, -117.611206 34.084885, -117.61112299999999 34.092064, -117.619868 34.09209, -117.628575 34.09215))",0.8805,0.601,0.9362,0.76,0.1765,0.8216,0.6942,0.4223,0.1442,0.7724,0.24,0.8764,0.0,85.0,35.1795,31.2,7.5,5.4,39.63,10.6,14.3,9.1,26.3,8.9,10.3,0.0,0.2
1,06,071,1400000US06071001703,06071001703,San Bernardino,"Census Tract 17.03, San Bernardino County, Calif",5680,2388,0.4366,0.6255,0.9891,0.9907,0.8804,0.9168,0.3853,0.2587,0.2622,0.7666,0.0,0.4965,0.4843,6.7443,26.4,9.2,5.0,13.1,10.8,0.1893,0.3389,0.1785,0.5105,0.397,5575.388720817278,1908278.08064108,"POLYGON ((-117.667639 34.03029, -117.667599 34.026471, -117.667551 34.019191, -117.663194 34.019237, -117.658833 34.019287, -117.654483 34.019313, -117.650628 34.019331, -117.650649 34.026587, -117.650716 34.030338, -117.654467 34.030314, -117.654569 34.030100000000004, -117.65701899999999 34.030299, -117.658925 34.030325999999995, -117.662808 34.030302999999996, -117.667639 34.03029))",0.7894,0.3592,0.8008,0.417,0.1601,0.5033,0.4964,0.1064,0.3748,0.3137,0.1654,0.8417,0.8008,67.8,23.1544,19.6,4.2,5.1,26.3285,7.0,5.6,13.6,19.4,7.8,8.1,10.8,0.6
2,06,071,1400000US06071001812,06071001812,San Bernardino,"Census Tract 18.12, San Bernardino County, Calif",3477,2913,0.9054,0.9883,0.9899,0.9872,0.9018,0.947,0.3853,0.4052,0.7891,0.5731,0.0,0.6576,0.9334,9.899,27.5,9.8,4.2,15.8,13.7,0.2437,0.5157,0.0785,0.7878,0.6957,4243.720820531976,887149.6270812,"POLYGON ((-117.65077 34.049248999999996, -117.650739 34.041056999999995, -117.650705 34.03745, -117.645929 34.037495, -117.641572 34.037516, -117.64160000000001 34.04114, -117.644059 34.041089, -117.64414099999999 34.048522999999996, -117.646017 34.049268, -117.65077 34.049248999999996))",0.9237,0.8559,0.9664,0.6674,0.8155,0.9616,0.7846,0.7864,0.236,0.7568,0.4277,0.9465,0.0,92.1,53.7091,37.9,6.3,22.3,53.0762,13.0,26.5,11.1,26.0,11.4,18.2,0.0,1.8
3,06,071,1400000US06071001002,06071001002,San Bernardino,"Census Tract 10.02, San Bernardino County, Calif",5929,1960,0.6587,0.7748,0.9913,0.9785,0.7307,0.7717,0.3853,0.2799,0.7891,0.2781,0.0,0.5144,0.7037,8.0941,25.1,9.7,3.7,15.7,11.3,0.1349,0.4859,0.04,0.5716,0.6859,4410.506266032648,1202109.687104145,"POLYGON ((-117.680818 34.074059999999996, -117.680823 34.070533, -117.680823 34.070428, -117.680824 34.066925, -117.680826 34.066789, -117.68081699999999 34.063303999999995, -117.670019 34.063311999999996, -117.670057 34.066955, -117.670062 34.068784, -117.670092 34.074238, -117.680816 34.074197999999996, -117.680818 34.074059999999996))",0.9182,0.7073,0.928,0.3881,0.6565,0.9362,0.8124,0.7367,0.0565,0.9135,0.131,0.9097,0.0,91.3,41.5937,30.0,4.0,16.0,49.3195,13.9,24.3,6.4,30.3,7.2,13.3,0.0,0.0
4,06,071,1400000US06071001310,06071001310,San Bernardino,"Census Tract 13.10, San Bernardino County, Calif",6193,2689,0.7382,0.9542,0.9944,0.9768,0.7394,0.7096,0.3853,0.3119,0.68,0.7666,0.9214,0.9793,0.7845,8.6517,27.5,9.3,4.9,13.8,12.0,0.2437,0.3679,0.1641,0.6463,0.4797,5320.830383249131,1414417.738885285,"POLYGON ((-117.64145500000001 34.087081999999995, -117.641437 34.0816, -117.641403 34.077948, -117.6414 34.074328, -117.641393 34.070699, -117.63480799999999 34.070709, -117.631964 34.070687, -117.631986 34.074343, -117.63199 34.077974, -117.632011 34.081617, -117.630018 34.081604999999996, -117.636269 34.085235, -117.639329 34.086543, -117.64145500000001 34.087081999999995))",0.8778,0.5535,0.9187,0.6579,0.3368,0.7326,0.4549,0.3971,0.2887,0.8183,0.3372,0.902,0.5234,84.5,32.6739,28.8,6.2,8.3,34.8688,6.4,13.6,12.1,27.3,10.2,12.5,0.9,3.2
5,06,071,1400000US06071001503,06071001503,San Bernardino,"Census Tract 15.03, San Bernardino County, Calif",4126,1163,0.9282,0.9996,0.994,0.9808,0.7641,0.7521,0.3853,0.4052,0.7891,0.5784,0.9936,0.9788,0.9913,10.9402,23.6,10.7,3.0,19.3,12.1,0.0881,0.7373,0.017,0.6563,0.9171,3172.3820732377676,552509.56951577,"POLYGON ((-117.63480799999999 34.070709, -117.634807 34.067074999999996, -117.637248 34.067065, -117.637223 34.063397, -117.630803 34.063414, -117.6285 34.063415, -117.628524 34.067074, -117.628545 34.068621, -117.629239 34.070704, -117.631964 34.070687, -117.63480799999999 34.070709))",0.9399,0.9497,0.9968,0.8708,0.6655,0.974,0.9579,0.8619,0.0291,0.9821,0.2328,0.9842,0.7717,94.4,66.3586,55.9,9.9,16.3,55.6008,23.8,30.9,4.9,35.8,8.8,28.4,8.9,1.3
6,06,071,1400000US06071001707,06071001707,San Bernardino,"Census Tract 17.07, San Bernardino County, Calif",6525,2102,0.6717,0.8898,0.9897,0.9856,0.8541,0.8871,0.3853,0.3282,0.6455,0.4656,0.0,0.534,0.6946,8.0315,25.6,9.5,4.2,14.5,11.7,0.1541,0.4269,0.0785,0.6162,0.5611,5463.95992798283,1705902.149375245,"POLYGON ((-117.66979 34.049158, -117.669916 34.040985, -117.663375 34.041038, -117.659014 34.041044, -117.650739 34.041056999999995, -117.65077 34.049248999999996, -117.650773 34.050402999999996, -117.660551 34.049712, -117.663293 34.049537, -117.663946 34.049534, -117.66979 34.049158))",0.9028,0.5892,0.9644,0.6579,0.2809,0.7381,0.4328,0.3782,0.2887,0.8351,0.5369,0.9193,0.0,88.8,34.5604,37.4,6.2,7.3,35.128,6.1,13.1,12.1,27.7,12.9,14.4,0.0,0.3
7,06,071,1400000US06071001810,06071001810,San Bernardino,"Census Tract 18.10, San Bernardino County, Calif",5273,1537,0.6583,0.8768,0.9897,0.9895,0.8955,0.9462,0.3853,0.4364,0.5446,0.7666,0.0,0.6304,0.7092,8.132,24.7,9.6,3.9,14.8,11.7,0.1213,0.4568,0.0528,0.6162,0.5944,4068.275074484996,988536.196293625,"POLYGON ((-117.650705 34.03745, -117.650687 34.033844, -117.650716 34.030338, -117.641496 34.030343, -117.63714999999999 34.03037, -117.637248 34.037497, -117.641572 34.037516, -117.645929 34.037495, -117.650705 34.03745))",0.9245,0.6208,0.9607,0.8251,0.3734,0.6824,0.5601,0.2427,0.0641,0.8426,0.2255,0.9089,0.9012,92.2,36.3171,36.4,8.7,9.0,32.6383,8.0,9.5,6.7,27.9,8.7,13.2,20.7,0.0
8,06,071,1400000US06071001101,06071001101,San Bernardino,"Census Tract 11.01, San Bernardino County, Calif",4173,3145,0.7491,0.8856,0.9924,0.9798,0.713,0.7244,0.3853,0.2821,0.7891,0.0,0.0,0.368,0.7501,8.4154,24.8,9.7,3.7,15.6,11.2,0.1248,0.4859,0.04,0.5598,0.6768,3807.452762798397,790858.51366276,"POLYGON ((-117.670062 34.068784, -117.670057 34.066955, -117.670019 34.063311999999996, -117.660625 34.063327, -117.65591599999999 34.063356999999996, -117.655958 34.067004, -117.655958 34.068222999999996, -117.655963 34.068833, -117.660645 34.068808, -117.670062 34.068784))",0.8928,0.8049,0.9638,0.76,0.6903,0.824,0.904,0.5082,0.0986,0.9088,0.095,0.965,0.0,87.1,48.8378,37.2,7.5,17.1,39.7709,18.2,16.7,7.9,30.1,6.5,22.0,0.0,0.0
9,06,071,1400000US06071001308,06071001308,San Bernardino,"Census Tract 13.08, San Bernardino County, Calif",4643,2785,0.7928,0.9349,0.9949,0.9774,0.793,0.7354,0.3853,0.1628,0.7056,0.7666,0.9456,0.9844,0.7711,8.5545,24.6,9.8,3.7,15.8,11.4,0.1182,0.5157,0.04,0.5831,0.6957,4798.5760671992075,1071823.45714313,"POLYGON ((-117.619856 34.084899, -117.619797 34.077627, -117.623107 34.077647999999996, -117.617715 34.074518999999995, -117.611175 34.070910999999995, -117.610991 34.072415, -117.61103800000001 34.077579, -117.611206 34.084885, -117.619856 34.084899))",0.8863,0.6347,0.9405,0.8297,0.5933,0.8353,0.7998,0.7219,0.1021,0.7008,0.1048,0.9284,0.4769,86.0,37.1312,32.0,8.8,14.1,40.4874,13.5,23.7,8.0,25.0,6.7,15.5,0.6,0.0
