Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A17007B_001,SE_A17007B_002,SE_A17007B_003,SE_A17007B_004,SE_A17007B_005,SE_A17007B_006,SE_A17007B_007,SE_A17007B_008,SE_A17007B_009,SE_A17007B_010,SE_A17007B_011,SE_A17007B_012,SE_A17007B_013,SE_A17007B_014,SE_A14006_001,SE_A17007A_001,SE_A17007A_002,SE_A17007A_003,SE_A17007A_004,SE_A17007A_005,SE_A17007A_006,SE_A17007A_007,SE_A17007A_008,SE_A17007A_009,SE_A17007A_010,SE_A17007A_011,SE_A17007A_012,SE_A17007A_013,SE_A17007A_014,SE_A00002_001,SE_A00002_002,SE_A00002_003
"060710001031","15000US060710001031","Block Group 1, Census Tract 1.03, San Bernardino County, California","Block Group 1, Census Tract 1.03, San Bernardino County, California","ca","150","00","ACSSF","0025703",,,,,"06","071",,,,"000103","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,32,135,10,0,44,0,0,52,22,0,0,0,0,131375,509,47,89,0,0,22,7,20,85,95,0,125,19,0,1407,2621.641,0.536686656463273
"060710001032","15000US060710001032","Block Group 2, Census Tract 1.03, San Bernardino County, California","Block Group 2, Census Tract 1.03, San Bernardino County, California","ca","150","00","ACSSF","0025704",,,,,"06","071",,,,"000103","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,93,120,0,0,10,0,54,30,60,0,0,13,11,119000,435,60,147,0,8,12,9,24,45,54,0,28,0,48,1563,6087.372,0.256761035186263
"060710001033","15000US060710001033","Block Group 3, Census Tract 1.03, San Bernardino County, California","Block Group 3, Census Tract 1.03, San Bernardino County, California","ca","150","00","ACSSF","0025705",,,,,"06","071",,,,"000103","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,79,110,0,9,31,0,0,40,81,0,23,0,0,60786,555,132,192,0,9,0,0,0,89,51,0,64,8,10,1947,5449.907,0.357253778781987
"060710001041","15000US060710001041","Block Group 1, Census Tract 1.04, San Bernardino County, California","Block Group 1, Census Tract 1.04, San Bernardino County, California","ca","150","00","ACSSF","0025706",,,,,"06","071",,,,"000104","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629,156,137,17,16,14,0,39,66,184,0,0,0,0,125568,704,235,189,12,43,58,0,24,73,0,0,52,18,0,2510,2532.855,0.990976406068291
"060710001042","15000US060710001042","Block Group 2, Census Tract 1.04, San Bernardino County, California","Block Group 2, Census Tract 1.04, San Bernardino County, California","ca","150","00","ACSSF","0025707",,,,,"06","071",,,,"000104","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,74,131,15,0,18,0,31,49,55,0,15,0,0,81047,346,64,174,0,0,7,0,0,19,11,0,9,40,22,1618,6370.959,0.25396488323498
"060710001043","15000US060710001043","Block Group 3, Census Tract 1.04, San Bernardino County, California","Block Group 3, Census Tract 1.04, San Bernardino County, California","ca","150","00","ACSSF","0025708",,,,,"06","071",,,,"000104","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,33,123,0,0,14,0,33,55,129,0,0,9,9,86774,458,74,154,0,0,12,34,0,75,28,22,31,11,17,1750,5676.597,0.308283281621382
"060710001051","15000US060710001051","Block Group 1, Census Tract 1.05, San Bernardino County, California","Block Group 1, Census Tract 1.05, San Bernardino County, California","ca","150","00","ACSSF","0025709",,,,,"06","071",,,,"000105","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,112,127,0,0,15,0,45,33,25,0,0,0,7,121500,457,116,107,0,25,0,22,0,82,57,0,38,0,10,1621,1530.225,1.05932112426776
"060710001052","15000US060710001052","Block Group 2, Census Tract 1.05, San Bernardino County, California","Block Group 2, Census Tract 1.05, San Bernardino County, California","ca","150","00","ACSSF","0025710",,,,,"06","071",,,,"000105","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642,142,302,0,0,4,0,30,97,67,0,0,0,0,150833,844,222,207,0,32,55,0,0,176,67,0,50,10,25,2837,3168.843,0.895279437588128
"060710001053","15000US060710001053","Block Group 3, Census Tract 1.05, San Bernardino County, California","Block Group 3, Census Tract 1.05, San Bernardino County, California","ca","150","00","ACSSF","0025711",,,,,"06","071",,,,"000105","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609,162,162,16,9,5,21,31,52,151,0,0,0,0,93576,579,126,130,8,30,13,0,0,64,48,0,75,0,85,2286,8327.912,0.274498569105339
"060710001071","15000US060710001071","Block Group 1, Census Tract 1.07, San Bernardino County, California","Block Group 1, Census Tract 1.07, San Bernardino County, California","ca","150","00","ACSSF","0025712",,,,,"06","071",,,,"000107","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639,118,166,9,8,33,0,31,73,185,0,0,5,11,91875,871,207,135,14,37,49,0,34,189,24,0,111,38,33,3021,5544.7,0.544844609318653
