Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14006_001,SE_A17007B_001,SE_A17007B_002,SE_A17007B_003,SE_A17007B_004,SE_A17007B_005,SE_A17007B_006,SE_A17007B_007,SE_A17007B_008,SE_A17007B_009,SE_A17007B_010,SE_A17007B_011,SE_A17007B_012,SE_A17007B_013,SE_A17007B_014,SE_A17007A_001,SE_A17007A_002,SE_A17007A_003,SE_A17007A_004,SE_A17007A_005,SE_A17007A_006,SE_A17007A_007,SE_A17007A_008,SE_A17007A_009,SE_A17007A_010,SE_A17007A_011,SE_A17007A_012,SE_A17007A_013,SE_A17007A_014,SE_A00002_001,SE_A00002_002,SE_A00002_003
"060710001031","15000US060710001031","Block Group 1","Block Group 1, Census Tract 1.03, San Bernardino County, California","ca","150","00","ACSSF","0025706",,,,,"06","071",,,,"000103","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130288,181,38,99,13,0,0,0,0,0,31,0,0,0,0,402,79,52,0,0,23,8,0,66,38,0,32,0,104,1199,2234.083,0.536685498156748
"060710001032","15000US060710001032","Block Group 2","Block Group 2, Census Tract 1.03, San Bernardino County, California","ca","150","00","ACSSF","0025707",,,,,"06","071",,,,"000103","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117159,304,90,64,20,10,14,0,0,19,69,0,0,6,12,386,109,37,0,13,42,0,11,35,39,0,33,20,47,1288,5016.337,0.256761035186263
"060710001033","15000US060710001033","Block Group 3","Block Group 3, Census Tract 1.03, San Bernardino County, California","ca","150","00","ACSSF","0025708",,,,,"06","071",,,,"000103","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63911,630,112,174,33,0,0,0,12,72,182,0,0,34,11,387,145,96,0,0,0,0,0,39,59,0,11,24,13,1951,5464.63,0.357023275783517
"060710001041","15000US060710001041","Block Group 1","Block Group 1, Census Tract 1.04, San Bernardino County, California","ca","150","00","ACSSF","0025709",,,,,"06","071",,,,"000104","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138365,691,160,282,17,11,11,10,12,74,102,0,0,12,0,833,263,172,32,9,0,26,11,68,53,0,119,13,67,3278,3307.849,0.990976406068291
"060710001042","15000US060710001042","Block Group 2","Block Group 2, Census Tract 1.04, San Bernardino County, California","ca","150","00","ACSSF","0025710",,,,,"06","071",,,,"000104","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68100,427,102,144,12,0,45,0,16,51,49,0,8,0,0,433,122,142,0,0,23,0,0,8,36,0,61,41,0,1587,6248.905,0.253964497132805
"060710001043","15000US060710001043","Block Group 3","Block Group 3, Census Tract 1.04, San Bernardino County, California","ca","150","00","ACSSF","0025711",,,,,"06","071",,,,"000104","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104904,499,41,206,32,0,42,0,0,64,114,0,0,0,0,571,122,165,0,39,16,0,18,69,70,0,37,12,23,2063,6642.258,0.310587153299552
"060710001051","15000US060710001051","Block Group 1","Block Group 1, Census Tract 1.05, San Bernardino County, California","ca","150","00","ACSSF","0025712",,,,,"06","071",,,,"000105","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144231,536,98,181,23,0,65,0,0,82,87,0,0,0,0,392,119,143,0,0,0,0,0,69,11,0,23,0,27,1774,1667.525,1.06385203329127
"060710001052","15000US060710001052","Block Group 2","Block Group 2, Census Tract 1.05, San Bernardino County, California","ca","150","00","ACSSF","0025713",,,,,"06","071",,,,"000105","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127540,647,131,238,0,14,7,0,48,93,116,0,0,0,0,674,195,123,0,20,0,20,31,127,35,10,30,29,54,2178,2433.011,0.895187159168305
"060710001053","15000US060710001053","Block Group 3","Block Group 3, Census Tract 1.05, San Bernardino County, California","ca","150","00","ACSSF","0025714",,,,,"06","071",,,,"000105","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94363,455,70,105,28,11,18,14,0,118,91,0,0,0,0,689,168,79,0,30,23,11,0,84,42,0,51,57,144,2440,8846.12,0.275827146689483
"060710001071","15000US060710001071","Block Group 1","Block Group 1, Census Tract 1.07, San Bernardino County, California","ca","150","00","ACSSF","0025715",,,,,"06","071",,,,"000107","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105250,682,145,224,16,0,53,0,48,76,105,0,0,8,7,943,196,161,8,37,14,31,0,183,25,0,147,52,89,3062,5562.573,0.550464712577819
