INDUSTRY,Population
"Educational services, and health care and social assistance",0.18
Retail trade,0.14
Manufacturing,0.11
"Transportation and warehousing, and utilities",0.11
"Professional, scientific, and management, and administrative and waste management services",0.10
"Arts, entertainment, and recreation, and accommodation and food services",0.10
Construction,0.07
Other services (except public administration),0.05
Wholesale trade,0.04
"Finance and insurance, and real estate and rental and leasing",0.04
Public administration,0.04
"Agriculture, forestry, fishing and hunting, and mining",0.01
Information,0.01
