,Acres,Year built,Building sq.ft.
0,275,2021,7778022
1,225,2003,6381893
2,151,2016,4273702
4,106,2018,3014158
5,106,1941,2990190
6,93,1996,2646053
7,91,2004,2574301
8,90,2022,2552763
9,85,1999,2407163
11,82,2011,2333657
12,80,2004,2273352
13,80,2021,2258989
14,80,1911,2258655
15,78,2020,2218342
16,76,1961,2153485
17,76,2021,2143610
18,75,2005,2111637
19,74,1990,2091972
20,74,2000,2087854
21,74,1998,2082921
22,72,2014,2050313
23,71,2018,2017650
24,70,1992,1986082
25,68,2015,1936597
26,67,1998,1906816
27,67,1955,1884724
29,64,2020,1824528
30,64,1961,1817457
31,64,2021,1811643
32,63,2011,1779264
33,63,2019,1777317
34,63,1980,1774534
35,62,2021,1748594
36,61,2007,1724232
37,61,1992,1723857
38,60,2007,1708056
39,60,2009,1699339
40,60,2022,1690513
41,59,1980,1681858
42,59,2019,1679771
43,58,2004,1643675
44,57,2005,1625517
45,57,2018,1621831
46,57,2018,1612002
47,56,2002,1586884
48,56,2009,1575508
49,55,2021,1564894
50,55,2020,1548840
51,54,2010,1530605
52,54,2021,1524837
53,54,1999,1519960
54,53,1997,1491801
55,53,2019,1489016
56,52,2021,1480482
57,52,2007,1479256
58,52,2005,1465536
59,52,2003,1464033
60,51,2007,1457248
61,51,2015,1430687
62,50,2020,1413190
63,50,2005,1403299
64,49,2018,1392218
65,49,2015,1391472
66,49,1998,1388448
67,49,2017,1383307
68,48,2022,1365762
69,48,2017,1363358
70,48,2012,1356162
71,48,2016,1355282
72,48,2020,1348265
73,48,2019,1347987
74,48,2003,1347681
75,48,2021,1346663
76,47,2014,1344402
77,47,2001,1339122
78,47,2020,1326841
79,47,1998,1325548
80,46,2005,1314582
81,45,2013,1275281
82,45,2019,1262038
84,44,1994,1257809
86,44,1995,1246547
87,44,1990,1235125
88,44,2018,1231962
89,43,2000,1217375
90,43,2017,1216623
91,43,2017,1211487
92,43,2017,1209314
93,43,2007,1207421
94,43,1991,1205578
95,43,2008,1204860
96,42,2000,1196928
97,42,2018,1190492
98,42,2001,1189770
99,42,1998,1189381
100,42,2005,1188283
101,42,2016,1185030
102,42,1988,1182947
103,42,1986,1180128
104,41,2004,1147686
105,41,2015,1146780
106,40,2000,1132405
107,40,2017,1123991
108,40,1985,1123577
109,40,1998,1121558
110,40,2015,1120261
111,39,2013,1114644
112,39,2005,1112017
113,39,2005,1107262
114,39,2022,1107057
116,39,2002,1103448
117,39,1998,1102445
118,39,1988,1101442
119,39,2014,1092013
120,39,2018,1091109
121,38,1980,1087074
122,38,1955,1086445
123,38,2002,1081452
124,38,1997,1070046
125,38,1999,1068054
126,38,2017,1066132
127,38,2000,1061938
128,37,1986,1059405
129,37,2019,1059086
130,37,2019,1053836
131,37,2006,1053650
132,37,2016,1053523
133,37,2015,1053141
134,37,2002,1053098
135,37,2016,1052005
136,37,2017,1047720
137,37,2001,1044341
138,37,1975,1038320
139,36,2019,1029542
140,36,2014,1028238
141,36,2016,1026828
142,36,2004,1021042
143,36,2013,1020203
145,36,1994,1016849
146,36,2022,1016562
147,36,2007,1014979
148,36,2000,1014095
149,36,2012,1012794
150,36,2021,1012628
151,36,2020,1009275
152,36,2002,1008933
153,36,2015,1007448
154,35,2015,1003270
155,35,2014,996991
156,35,2012,990152
157,35,2016,988080
158,35,2019,985536
159,35,1995,983522
160,35,2005,983509
161,35,2014,980215
162,35,1971,980149
163,35,2006,980090
164,35,2019,977564
165,34,2012,963666
166,34,2001,962984
167,34,2001,962908
168,34,2014,958802
169,34,2018,957987
170,34,2001,954784
171,34,2012,949383
172,33,2021,947540
173,33,2007,941482
174,33,1971,938951
175,33,2020,938712
176,33,2020,937035
177,33,2005,935912
178,33,1998,935117
179,33,1988,934876
180,33,2006,929017
181,33,1995,928709
182,33,2018,928198
183,33,2000,927802
184,33,1998,924558
185,32,2019,920170
186,32,1957,919448
187,32,2003,918134
188,32,2006,917689
189,32,2016,915308
190,32,2006,914193
191,32,1952,913403
192,32,2006,909125
193,32,2008,908675
194,32,2018,908345
195,32,2017,907946
196,32,2006,902729
197,32,1980,902644
198,32,1998,899113
199,32,2005,897228
201,32,2021,896286
202,32,2006,895952
203,32,2006,895241
204,32,1970,893568
205,31,2014,890785
206,31,1997,890119
207,31,2005,888596
208,31,2016,883995
209,31,2006,882746
210,31,2001,879846
211,31,2009,875518
212,31,1999,874531
213,31,2020,873932
214,31,2013,873556
215,31,2017,871099
216,31,2018,867565
217,31,2013,864622
218,30,2020,859916
219,30,1991,859072
220,30,1989,858606
222,30,2008,857534
223,30,2014,853768
224,30,1996,852576
225,30,2017,852386
226,30,1961,850425
227,30,1967,846047
229,30,2016,841263
230,30,2012,835571
231,30,2015,835404
232,29,2014,833633
233,29,2000,833362
234,29,2006,832908
235,29,2020,832839
236,29,2001,832751
237,29,2005,832245
238,29,2020,831864
239,29,2020,830907
240,29,2019,830344
241,29,2020,826828
242,29,1998,820031
243,29,2013,818014
244,29,2000,816125
245,29,2000,815640
247,29,1987,813528
249,29,2004,810861
251,29,1990,806999
252,28,2008,806173
253,28,2001,804623
254,28,1999,804620
255,28,2012,803268
256,28,2001,800351
257,28,2013,795996
258,28,2001,795322
259,28,2004,791154
260,28,1981,789493
261,28,1999,789235
262,28,2006,788807
263,28,2016,788295
264,28,2000,787963
265,28,1998,787653
266,28,2011,785262
267,28,1990,784525
268,28,1992,782614
269,28,2007,780420
270,28,2016,779874
271,28,2008,779155
272,28,2013,779073
273,28,2016,779045
274,27,2004,778312
276,27,2011,777333
277,27,1998,775134
278,27,2015,773339
279,27,2018,772217
280,27,2014,771632
281,27,2006,769020
282,27,2017,766466
283,27,2001,763885
284,27,2014,762686
285,27,2013,762030
286,27,2018,762004
287,27,2007,761066
288,27,1979,758970
289,27,2019,758384
290,27,2013,757147
291,27,2006,754305
292,27,2019,754158
293,26,2008,750005
294,26,2009,746787
295,26,1993,745151
296,26,1969,743247
297,26,2003,741733
298,26,2004,741525
299,26,1946,740604
300,26,1999,740392
303,26,2001,738769
304,26,2012,738086
305,26,2006,736094
306,26,2002,735754
307,26,1996,734801
308,26,1997,734594
309,26,2013,734311
310,26,2017,731426
311,26,2015,727405
312,26,2019,726208
313,26,2017,725407
314,26,2008,725011
315,26,2021,723379
316,26,2019,722912
317,25,1998,720219
318,25,1981,715093
319,25,2012,709339
320,25,1985,708944
321,25,1974,708447
322,25,2013,706906
323,25,1975,706754
325,25,2008,704090
326,25,2002,702112
327,25,1994,701953
329,25,1991,696351
330,25,2016,696263
331,25,2016,696218
332,25,2007,694404
333,24,2004,692246
334,24,2001,691171
335,24,2016,690478
336,24,1982,689894
337,24,2016,689038
338,24,1968,688623
339,24,2001,688194
340,24,2020,686597
341,24,2007,686419
342,24,2017,685206
343,24,2020,684737
344,24,2003,682776
345,24,2007,682347
346,24,1985,682325
347,24,1989,682022
348,24,2002,679490
350,24,1958,677642
351,24,2020,676878
352,24,1990,676204
353,24,1989,674896
354,24,2021,674576
355,24,1999,673065
356,24,2004,672778
357,24,2022,672604
358,24,2007,672134
359,24,2005,669168
360,24,2018,668564
361,24,1978,667934
362,24,1985,667105
363,24,2000,665408
364,23,2002,663836
366,23,1999,662239
367,23,2018,661882
368,23,1985,661766
369,23,2018,659138
370,23,2005,658989
371,23,2015,654914
372,23,2016,653675
373,23,2000,652652
375,23,1951,651937
376,23,2003,650453
377,23,2011,649750
378,23,1991,648635
379,23,2006,645540
380,23,2020,645478
381,23,1997,645134
382,23,2018,644349
384,23,2003,642738
385,23,2017,640506
386,23,1960,637734
387,22,1990,635530
388,22,2001,635521
389,22,1979,633217
390,22,1989,633135
391,22,2018,632713
393,22,1997,632387
396,22,1983,620837
397,22,2016,618249
398,22,1973,618099
399,22,2015,617095
400,22,2018,616966
401,22,1978,616928
402,22,2000,614986
403,22,2002,614939
404,22,2015,614384
405,22,2016,614275
406,22,1977,613975
407,22,1981,611428
408,22,1980,611283
409,22,1986,610235
410,22,1981,610053
411,22,2019,608907
412,21,1987,608531
413,21,2006,607959
414,21,2002,604758
415,21,2003,603984
416,21,1971,602532
417,21,2020,598610
418,21,2005,598053
419,21,1978,597768
420,21,1965,597187
421,21,2017,596856
422,21,2001,595985
423,21,1966,595606
424,21,2001,594474
425,21,2005,594131
426,21,2003,591991
427,21,2017,591864
428,21,2007,589224
429,21,2004,588719
430,21,1966,588287
431,21,1997,588100
432,21,2017,587609
433,21,2001,587572
434,21,2016,587227
435,21,2001,586889
436,21,2016,585513
437,21,2006,585135
438,21,2001,584861
439,21,2003,583400
440,21,2005,582767
441,21,2000,582492
442,21,2015,580691
444,20,2006,579258
445,20,2020,578250
446,20,2016,576677
447,20,1976,575534
448,20,1995,574480
449,20,1998,572193
450,20,1999,570338
451,20,2018,570322
452,20,2004,569628
453,20,2018,569607
454,20,1996,569250
455,20,2013,569087
456,20,1990,568724
457,20,2001,568486
458,20,2001,568440
459,20,2006,568338
460,20,2001,568219
461,20,2008,567825
462,20,2018,566776
463,20,2019,566616
464,20,1996,565476
465,20,1977,565368
466,20,1964,565358
467,20,2015,564707
468,20,1973,564584
469,20,1963,562943
470,20,2001,561694
471,20,2014,561500
472,20,2019,560164
473,20,2006,560097
474,20,2012,559364
475,20,2005,559088
476,20,2007,558650
477,20,2000,556598
478,20,1998,555124
479,20,2016,554467
480,20,2016,553858
481,20,1979,553674
482,20,2019,553509
483,20,2017,553357
484,20,1950,553216
485,20,1987,552783
486,20,2006,552675
487,20,2004,552516
488,20,2008,552185
489,19,1956,551983
490,19,2004,551358
491,19,1999,549882
492,19,2002,549800
493,19,1985,549636
494,19,2008,547640
495,19,2000,546980
496,19,2012,546618
497,19,2012,546600
498,19,1992,546292
499,19,2002,545664
500,19,2006,545558
501,19,1986,545366
502,19,2003,544885
504,19,1997,541404
505,19,2018,540925
506,19,1971,540524
507,19,2007,540368
508,19,1999,539931
509,19,2015,539856
510,19,1967,539316
511,19,1964,538683
512,19,1964,538683
513,19,2020,538391
514,19,2014,537755
515,19,2014,537743
516,19,2003,537455
517,19,2006,537190
518,19,2007,536985
519,19,1999,536644
520,19,2000,536626
521,19,2000,536166
522,19,2013,535592
523,19,2016,535067
524,19,2007,534355
525,19,2017,534005
526,19,2013,533411
527,19,2015,533400
528,19,1987,533235
530,19,2012,532856
531,19,2021,532472
532,19,1991,532314
533,19,1990,532249
534,19,2013,532138
535,19,2018,531368
536,19,1995,530438
537,19,1998,529303
538,19,1999,529279
539,19,1996,529000
540,19,2013,528717
541,19,2005,527760
542,19,1988,527332
544,19,1990,526645
545,19,2006,526610
546,19,2013,526590
547,19,1986,525613
548,19,2008,525205
550,19,2005,524625
551,19,2006,524247
552,19,1987,523876
553,18,1993,522655
554,18,1996,522071
555,18,2009,521972
556,18,2015,521454
557,18,1985,521360
558,18,1990,519979
559,18,2004,519714
560,18,2014,519247
561,18,2015,519178
562,18,2018,518922
563,18,1967,518624
564,18,2000,517553
565,18,1973,517500
566,18,1978,517407
567,18,2018,517313
568,18,1991,516451
569,18,1999,516364
570,18,2001,516246
571,18,2007,514730
572,18,2007,514539
573,18,2019,513851
575,18,2008,512854
576,18,2015,512076
577,18,2004,511900
578,18,2014,511760
579,18,2019,511568
580,18,1990,510305
581,18,2018,510116
582,18,1999,509377
583,18,1984,508661
584,18,1985,508479
585,18,2018,508275
586,18,2014,508131
587,18,2000,507976
588,18,2002,507510
589,18,1973,507198
590,18,2006,507044
591,18,2001,506483
592,18,2002,506458
594,18,2013,506234
595,18,2003,505660
596,18,2012,505533
597,18,1936,504980
598,18,1987,504624
599,18,1990,503668
600,18,1998,503145
601,18,2008,502771
602,18,2005,502195
603,18,1987,500021
604,18,2019,497951
605,18,2004,497677
606,18,2000,497571
607,18,2013,497399
608,18,1986,497237
609,18,1990,496410
610,18,2004,496273
611,18,2005,495711
612,17,1992,495478
613,17,1987,494856
614,17,2007,494778
615,17,2008,494749
616,17,2017,494669
617,17,1994,494526
618,17,2001,493319
619,17,2000,491889
620,17,2020,490355
621,17,1990,489787
622,17,1990,489560
623,17,2021,487646
624,17,2006,487594
625,17,2003,487468
626,17,2007,487325
627,17,2012,486190
628,17,1991,485687
629,17,1992,484847
630,17,1998,483973
631,17,2009,483542
632,17,1989,483430
633,17,1991,483295
634,17,1980,483237
635,17,2020,480882
636,17,1957,480653
637,17,2019,480314
638,17,2015,480019
639,17,2020,479393
640,17,2007,479376
641,17,1987,478824
642,17,2003,476931
643,17,1985,476907
644,17,1991,476901
645,17,1986,475818
646,17,1997,475692
647,17,1954,475443
648,17,2005,474795
649,17,1992,474487
650,17,2020,473576
651,17,2000,471040
652,17,2005,470825
653,17,2021,470560
654,17,2021,469839
655,17,1999,469779
656,17,2010,469702
657,17,1974,469447
658,17,2011,469272
659,17,1955,469157
660,17,1967,469006
661,17,2014,468957
662,17,1972,468311
663,17,2003,468037
664,17,1994,467600
665,16,1990,466741
666,16,1996,465767
667,16,2013,464084
668,16,2007,462935
669,16,1980,462507
670,16,1999,462375
671,16,1961,462311
672,16,2019,462040
673,16,2006,461641
674,16,2006,461560
675,16,1962,459462
676,16,2004,458338
677,16,1973,458326
678,16,1985,457345
679,16,2018,456422
680,16,1998,455808
681,16,1999,455096
682,16,1998,455066
683,16,2021,455035
684,16,2013,455015
685,16,1997,454730
686,16,1990,453957
687,16,1998,453934
688,16,1988,453573
689,16,2019,452326
690,16,1984,452278
691,16,1997,452271
692,16,1998,451952
693,16,2000,451797
694,16,2015,451749
695,16,1974,451672
696,16,2002,451606
697,16,2014,450597
698,16,1991,448888
699,16,2018,447651
700,16,2020,447433
702,16,2014,445435
703,16,2018,445262
704,16,2009,445234
705,16,2021,444131
707,16,1997,442861
708,16,1998,442732
709,16,2001,442416
710,16,2020,441819
711,16,2021,441674
712,16,1998,441181
713,16,2013,440090
714,16,2018,440006
715,16,1999,439404
716,15,1989,437874
717,15,1989,437637
719,15,2021,437169
720,15,2003,437018
721,15,1986,436465
722,15,2002,436100
723,15,1987,435366
724,15,2008,435160
725,15,2008,434907
726,15,2001,434600
727,15,1999,434144
728,15,1996,433484
729,15,2007,432777
730,15,2014,432715
731,15,1971,432494
732,15,1988,432433
733,15,1990,432334
735,15,2006,431644
736,15,1956,430351
737,15,1999,430095
738,15,2000,429242
739,15,2001,428619
740,15,1998,428269
741,15,1979,426971
742,15,1984,426953
743,15,2002,426482
744,15,2007,426374
745,15,1999,425335
746,15,2001,424881
747,15,1955,424321
748,15,1986,423937
749,15,1979,423708
750,15,2020,423293
751,15,2004,422634
752,15,2006,421948
753,15,2019,421507
754,15,2018,421489
755,15,2005,421425
756,15,1980,421257
757,15,1970,420404
758,15,1995,420137
759,15,1999,420020
760,15,2006,419780
761,15,1988,419761
762,15,2016,419487
763,15,1999,418425
764,15,1997,417891
765,15,1952,417715
766,15,2017,417131
767,15,1981,417009
768,15,1999,416706
769,15,1987,416234
770,15,1996,414429
771,15,1998,413740
772,15,1987,412435
773,15,1987,411457
774,15,2018,411361
776,14,1989,410148
777,14,1987,410014
778,14,2013,409544
779,14,1988,409325
780,14,2019,408999
781,14,1999,408500
782,14,2018,408474
783,14,2019,408127
784,14,1998,407875
785,14,2020,407863
786,14,2000,407002
787,14,2005,406851
788,14,2001,406680
789,14,1983,406632
790,14,1986,406347
791,14,1997,406316
792,14,2006,405088
793,14,1948,404863
794,14,2000,404057
795,14,1982,403980
796,14,2000,403923
797,14,2018,403836
798,14,2004,403631
799,14,2003,403385
800,14,2006,403308
801,14,1988,402962
802,14,2014,402291
803,14,2006,402171
804,14,2004,401981
805,14,1999,401640
806,14,2005,401386
807,14,1997,401308
808,14,2017,400023
809,14,2016,400016
810,14,2001,399552
811,14,1998,399471
812,14,1992,398971
814,14,2000,398085
815,14,2002,398056
816,14,1989,397987
817,14,2000,397328
818,14,1981,397184
819,14,1998,397172
820,14,2019,396705
821,14,2000,396650
822,14,2001,396484
823,14,2021,395713
824,14,1999,395150
825,14,2001,395066
826,14,1999,394899
827,14,1965,394439
828,14,1984,393861
829,14,1994,393403
830,14,2005,393326
831,14,1994,392740
832,14,2003,392415
833,14,2008,392290
834,14,1978,391735
835,14,2005,391632
836,14,1999,390431
837,14,2021,390382
838,14,2000,389975
839,14,1950,389398
840,14,2006,389070
841,14,2001,388652
842,14,2020,387973
843,14,2002,387685
844,14,2000,387310
845,14,2018,386855
846,14,2017,386794
847,14,2007,386698
848,14,1999,386649
849,14,2020,386593
850,14,2021,385908
851,14,1999,385375
852,14,2018,385370
853,14,2006,385231
854,14,1989,384310
855,14,2004,384052
856,14,2006,384006
857,14,1995,383886
858,14,1999,383698
859,14,1983,383482
860,14,1987,382897
861,14,1974,382333
862,13,2017,382122
863,13,2003,381809
864,13,2007,381568
865,13,1968,381100
866,13,1983,381089
867,13,2000,380994
868,13,1990,380935
869,13,1993,380904
870,13,2004,380200
871,13,2001,379709
872,13,1997,379525
873,13,1974,377833
874,13,1973,377419
875,13,1998,377348
876,13,1975,377258
877,13,1992,376897
878,13,2017,376816
879,13,2019,376464
880,13,2000,376321
881,13,1954,376100
882,13,1971,376000
883,13,1976,375997
884,13,2019,375914
885,13,1969,375336
886,13,2014,375267
887,13,1989,374906
888,13,1979,373984
889,13,1989,373630
890,13,2007,372534
891,13,2007,372058
892,13,1974,371050
893,13,1956,371035
894,13,1991,370897
895,13,1990,370848
896,13,2015,370650
897,13,1968,370228
898,13,1981,369889
899,13,1991,369787
900,13,2006,369771
901,13,1996,368929
902,13,2012,368389
903,13,1968,367719
904,13,2008,367315
905,13,1973,366379
906,13,1968,365974
