,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
435,06,071,001307,1400000US06071001307,06071001307,13.07,CT,1281879,0,"POLYGON ((-117.628575 34.09215, -117.628563 34.085074, -117.62792400000001 34.084916, -117.619856 34.084899, -117.611206 34.084885, -117.61112299999999 34.092064, -117.619868 34.09209, -117.628575 34.09215))"
436,06,071,001703,1400000US06071001703,06071001703,17.03,CT,1909759,0,"POLYGON ((-117.667639 34.03029, -117.667599 34.026471, -117.667551 34.019191, -117.663194 34.019237, -117.658833 34.019287, -117.654483 34.019313, -117.650628 34.019331, -117.650649 34.026587, -117.650716 34.030338, -117.654467 34.030314, -117.654569 34.030100000000004, -117.65701899999999 34.030299, -117.658925 34.030325999999995, -117.662808 34.030302999999996, -117.667639 34.03029))"
437,06,071,001812,1400000US06071001812,06071001812,18.12,CT,888388,0,"POLYGON ((-117.65077 34.049248999999996, -117.650739 34.041056999999995, -117.650705 34.03745, -117.645929 34.037495, -117.641572 34.037516, -117.64160000000001 34.04114, -117.644059 34.041089, -117.64414099999999 34.048522999999996, -117.646017 34.049268, -117.65077 34.049248999999996))"
717,06,071,001002,1400000US06071001002,06071001002,10.02,CT,1203162,0,"POLYGON ((-117.680818 34.074059999999996, -117.680823 34.070533, -117.680823 34.070428, -117.680824 34.066925, -117.680826 34.066789, -117.68081699999999 34.063303999999995, -117.670019 34.063311999999996, -117.670057 34.066955, -117.670062 34.068784, -117.670092 34.074238, -117.680816 34.074197999999996, -117.680818 34.074059999999996))"
718,06,071,001310,1400000US06071001310,06071001310,13.10,CT,1417244,0,"POLYGON ((-117.64145500000001 34.087081999999995, -117.641437 34.0816, -117.641403 34.077948, -117.6414 34.074328, -117.641393 34.070699, -117.63480799999999 34.070709, -117.631964 34.070687, -117.631986 34.074343, -117.63199 34.077974, -117.632011 34.081617, -117.630018 34.081604999999996, -117.636269 34.085235, -117.639329 34.086543, -117.64145500000001 34.087081999999995))"
719,06,071,001503,1400000US06071001503,06071001503,15.03,CT,553555,0,"POLYGON ((-117.63480799999999 34.070709, -117.634807 34.067074999999996, -117.637248 34.067065, -117.637223 34.063397, -117.630803 34.063414, -117.6285 34.063415, -117.628524 34.067074, -117.628545 34.068621, -117.629239 34.070704, -117.631964 34.070687, -117.63480799999999 34.070709))"
720,06,071,001707,1400000US06071001707,06071001707,17.07,CT,1709523,0,"POLYGON ((-117.66979 34.049158, -117.669916 34.040985, -117.663375 34.041038, -117.659014 34.041044, -117.650739 34.041056999999995, -117.65077 34.049248999999996, -117.650773 34.050402999999996, -117.660551 34.049712, -117.663293 34.049537, -117.663946 34.049534, -117.66979 34.049158))"
721,06,071,001810,1400000US06071001810,06071001810,18.10,CT,988342,0,"POLYGON ((-117.650705 34.03745, -117.650687 34.033844, -117.650716 34.030338, -117.641496 34.030343, -117.63714999999999 34.03037, -117.637248 34.037497, -117.641572 34.037516, -117.645929 34.037495, -117.650705 34.03745))"
1627,06,071,001101,1400000US06071001101,06071001101,11.01,CT,791646,0,"POLYGON ((-117.670062 34.068784, -117.670057 34.066955, -117.670019 34.063311999999996, -117.660625 34.063327, -117.65591599999999 34.063356999999996, -117.655958 34.067004, -117.655958 34.068222999999996, -117.655963 34.068833, -117.660645 34.068808, -117.670062 34.068784))"
2637,06,071,001308,1400000US06071001308,06071001308,13.08,CT,1077531,0,"POLYGON ((-117.619856 34.084899, -117.619797 34.077627, -117.623107 34.077647999999996, -117.617715 34.074518999999995, -117.611175 34.070910999999995, -117.610991 34.072415, -117.61103800000001 34.077579, -117.611206 34.084885, -117.619856 34.084899))"
3262,06,071,001808,1400000US06071001808,06071001808,18.08,CT,1130298,0,"POLYGON ((-117.623377 34.030389, -117.624081 34.02992, -117.624054 34.026745, -117.623969 34.019501999999996, -117.619595 34.019563, -117.615272 34.019566999999995, -117.615336 34.026809, -117.610965 34.026844, -117.611001 34.030457999999996, -117.623377 34.030389))"
3503,06,071,000304,1400000US06071000304,06071000304,3.04,CT,3266983,0,"POLYGON ((-117.706969 34.059734999999996, -117.706834 34.0522, -117.706746 34.048584999999996, -117.70675800000001 34.047112999999996, -117.706907 34.046672, -117.703382 34.046965, -117.702635 34.047022, -117.698052 34.047257, -117.693784 34.047534, -117.69366600000001 34.047565, -117.692684 34.047644999999996, -117.69175899999999 34.047641, -117.689539 34.047751999999996, -117.68076500000001 34.048356, -117.68075 34.048395, -117.680784 34.053149, -117.68079900000001 34.05489, -117.680835 34.055966999999995, -117.680859 34.059861, -117.68193 34.05985, -117.68408099999999 34.05984, -117.689708 34.059809, -117.690641 34.059795, -117.706969 34.059734999999996))"
3509,06,071,001104,1400000US06071001104,06071001104,11.04,CT,1792399,0,"POLYGON ((-117.670137 34.087379, -117.670118 34.081502, -117.670107 34.077861999999996, -117.670092 34.074238, -117.670062 34.068784, -117.660645 34.068808, -117.66068 34.074264, -117.660703 34.077906, -117.660712 34.081533, -117.660736 34.087434, -117.670137 34.087379))"
3510,06,071,001309,1400000US06071001309,06071001309,13.09,CT,1302941,0,"POLYGON ((-117.630018 34.081604999999996, -117.632011 34.081617, -117.63199 34.077974, -117.631986 34.074343, -117.631964 34.070687, -117.629239 34.070704, -117.620761 34.070717, -117.613353 34.070693999999996, -117.61192199999999 34.069091, -117.611013 34.068816, -117.611176 34.07076, -117.611175 34.070910999999995, -117.617715 34.074518999999995, -117.623107 34.077647999999996, -117.628589 34.080805999999995, -117.630018 34.081604999999996))"
3511,06,071,001501,1400000US06071001501,06071001501,15.01,CT,751632,0,"POLYGON ((-117.646098 34.070679, -117.64608799999999 34.068258, -117.646055 34.063376, -117.641333 34.063385, -117.637223 34.063397, -117.637248 34.067065, -117.634807 34.067074999999996, -117.63480799999999 34.070709, -117.641393 34.070699, -117.643766 34.070685, -117.646098 34.070679))"
3512,06,071,001706,1400000US06071001706,06071001706,17.06,CT,1114627,0,"POLYGON ((-117.669867 34.055994, -117.66979 34.049158, -117.663946 34.049534, -117.663293 34.049537, -117.660551 34.049712, -117.650773 34.050402999999996, -117.650807 34.054967999999995, -117.653532 34.05495, -117.658564 34.05499, -117.660583 34.055419, -117.66237 34.055909, -117.663281 34.056024, -117.669867 34.055994))"
