"Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"051513138","storage building","2021","275","7778022"
"046323158","distribution warehouse","2003","225","6381893"
"049202124","storage warehouse","2016","151","4273702"
"668280017","warehouse/dry storage","1910","128","3633789"
"046323161","distribution warehouse","2018","106","3014158"
"156150069","light industrial","1941","106","2990190"
"023812175","distribution warehouse","1996","93","2646053"
"312250043","warehouse/dry storage","2004","91","2574301"
"407220022","warehouse/mega","2022","90","2552763"
"3114-011-029","Warehousing, Distribution, Storage","1999","85","2407163"
"302050035","warehouse/dry storage","1910","83","2357606"
"488350052","warehouse/dry storage","2011","82","2333657"
"303040001","warehouse/dry storage","2004","80","2273352"
"302080033","warehouse/dry storage","2021","80","2258989"
"303110001","warehouse/dry storage","1911","80","2258655"
"294670004","light industrial","2020","78","2218342"
"8082-003-010","Warehousing, Distribution, Storage","1961","76","2153485"
"105439102","distribution warehouse","2021","76","2143610"
"045821201","storage hangar","2005","75","2111637"
"111015101","distribution warehouse","1990","74","2091972"
"303030019","warehouse/dry storage","2000","74","2087854"
"156080031","ct-light industrial","1998","74","2082921"
"316020046","light industrial","2014","72","2050313"
"316211028","warehouse/dry storage","2018","71","2017650"
"021126319","transit warehouse (truck terminal)","1992","70","1986082"
"102610103","distribution warehouse","2015","68","1936597"
"7351-003-013","Warehousing, Distribution, Storage","1998","67","1906816"
"2826-004-043","Warehousing, Distribution, Storage","1955","67","1884724"
"424010021","warehouse/mega","1910","66","1866364"
"025918141","distribution warehouse","2020","64","1824528"
"648050012","light industrial","1961","64","1817457"
"532110017","warehouse/mega","2021","64","1811643"
"156150070","light industrial","2011","63","1779264"
"316100060","warehouse/mega","2019","63","1777317"
"156030029","light industrial","1980","63","1774534"
"107311124","distribution warehouse","2021","62","1748594"
"034815125","transit warehouse (truck terminal)","2007","61","1724232"
"021121315","storage warehouse","1992","61","1723857"
"016757105","distribution warehouse","2007","60","1708056"
"303070016","warehouse/dry storage","2009","60","1699339"
"303934116","distribution warehouse","2022","60","1690513"
"023808145","distribution warehouse","1980","59","1681858"
"294640034","ct-warehouse/cold storage","2019","59","1679771"
"013634165","distribution warehouse","2004","58","1643675"
"312250046","warehouse/dry storage","2005","57","1625517"
"303090035","warehouse/dry storage","2018","57","1621831"
"024025155","distribution warehouse","2018","57","1612002"
"013634188","distribution warehouse","2002","56","1586884"
"029207155","distribution warehouse","2009","56","1575508"
"303050004","warehouse/mega","2021","55","1564894"
"029204149","distribution warehouse","2020","55","1548840"
"023802176","distribution warehouse","2010","54","1530605"
"107313101","distribution warehouse","2021","54","1524837"
"026002122","distribution warehouse","1999","54","1519960"
"330030020","ct-light industrial","1997","53","1491801"
"297100084","warehouse/mega","2019","53","1489016"
"175170048","light industrial","2021","52","1480482"
"045919405","distribution warehouse","2007","52","1479256"
"024017132","distribution warehouse","2005","52","1465536"
"026002144","distribution warehouse","2003","52","1464033"
"297170087","light industrial","2007","51","1457248"
"016751129","flex","2015","51","1430687"
"025918142","distribution warehouse","2020","50","1413190"
"013634184","distribution warehouse","2005","50","1403299"
"316211002","warehouse/mega","2018","49","1392218"
"488330040","ct-light industrial","2015","49","1391472"
"108335105","distribution warehouse","1998","49","1388448"
"024025150","distribution warehouse","2017","49","1383307"
"407220021","warehouse/mega","2022","48","1365762"
"294110010","warehouse/dry storage","2017","48","1363358"
"013636136","distribution warehouse","2012","48","1356162"
"316020050","warehouse/dry storage","2016","48","1355282"
"107311118","distribution warehouse","2020","48","1348265"
"263021003","warehouse/mega","2019","48","1347987"
"016751109","distribution warehouse","2003","48","1347681"
"107315116","distribution warehouse","2021","48","1346663"
